coefficient,date_created,margin,mcr,params,start_line,ticker,window_length
0.4634472745408663,2018-10-05 10:52:35.945140,,,"{""input_dim"": 11, ""node1"": 190, ""node2"": 183, ""output_dim"": 1, ""batch_size"": 64, ""epochs"": 5}",-0.01951080933678633,ABCB,
,2018-10-05 10:52:40.609020,,,"{""bad_model"": 0}",,ABIL,
,2018-10-05 10:52:44.467533,,,"{""bad_model"": 0}",,ABTX,
,2018-10-05 10:52:48.812488,,,"{""bad_model"": 0}",,ACBI,
0.4046725477257704,2018-10-05 10:58:07.338946,,,"{""input_dim"": 11, ""node1"": 92, ""node2"": 186, ""output_dim"": 1, ""batch_size"": 128, ""epochs"": 5}",0.010686986736524427,ACIW,
0.2568174717891627,2018-10-05 11:03:25.310102,,0.11740326598224354,"{""input_dim"": 11, ""node1"": 248, ""node2"": 165, ""output_dim"": 1, ""batch_size"": 128, ""epochs"": 8}",0.0017167195146013765,ACN,21.0
0.4588635411523119,2018-10-05 11:09:13.830852,,0.5842151892046719,"{""input_dim"": 11, ""node1"": 154, ""node2"": 104, ""output_dim"": 1, ""batch_size"": 8, ""epochs"": 3}",0.025100282420276485,ACNB,21.0
0.4672193869343943,2018-10-05 11:14:30.690827,,1.1313968226087971,"{""input_dim"": 11, ""node1"": 103, ""node2"": 72, ""output_dim"": 1, ""batch_size"": 64, ""epochs"": 5}",-0.0017264569367050936,ACXM,21.0
0.8362835861783858,2018-10-05 11:20:12.418972,,0.27860751364009306,"{""input_dim"": 11, ""node1"": 233, ""node2"": 92, ""output_dim"": 1, ""batch_size"": 128, ""epochs"": 3}",-0.015031563346546026,ADBE,21.0
0.5240268026203418,2018-10-05 11:25:17.038781,,0.5052840948678202,"{""input_dim"": 11, ""node1"": 204, ""node2"": 69, ""output_dim"": 1, ""batch_size"": 128, ""epochs"": 5}",-0.008016435436110336,ADP,21.0
